"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"12/06/2025","1,322.99","1,315.20","1,326.03","1,308.63","810.97M","0.59%"
"11/06/2025","1,315.20","1,316.23","1,322.07","1,306.25","539.56M","-0.08%"
"10/06/2025","1,316.23","1,310.57","1,323.61","1,299.94","702.73M","0.43%"
"09/06/2025","1,310.57","1,329.89","1,331.56","1,309.05","718.35M","-1.45%"
"06/06/2025","1,329.89","1,342.09","1,344.92","1,325.45","900.45M","-0.91%"
"05/06/2025","1,342.09","1,345.74","1,347.49","1,336.11","756.61M","-0.27%"
"04/06/2025","1,345.74","1,347.25","1,351.14","1,341.53","952.31M","-0.11%"
"03/06/2025","1,347.25","1,336.30","1,350.89","1,336.30","1.03B","0.82%"
"02/06/2025","1,336.30","1,332.60","1,336.33","1,322.95","860.23M","0.28%"
"30/05/2025","1,332.60","1,341.86","1,345.78","1,328.69","910.32M","-0.69%"
"29/05/2025","1,341.86","1,341.87","1,348.31","1,335.62","894.92M","0.00%"
"28/05/2025","1,341.87","1,339.81","1,348.05","1,337.18","898.55M","0.15%"
"27/05/2025","1,339.81","1,332.51","1,339.81","1,329.60","1.05B","0.55%"
"26/05/2025","1,332.51","1,314.46","1,332.51","1,288.86","959.63M","1.37%"
"23/05/2025","1,314.46","1,313.84","1,320.07","1,308.62","641.20M","0.05%"
"22/05/2025","1,313.84","1,323.05","1,331.93","1,312.80","1.12B","-0.70%"
"21/05/2025","1,323.05","1,315.15","1,331.60","1,313.13","989.95M","0.60%"
"20/05/2025","1,315.15","1,296.29","1,316.67","1,296.29","856.90M","1.45%"
"19/05/2025","1,296.29","1,301.39","1,306.20","1,291.66","829.02M","-0.39%"
"16/05/2025","1,301.39","1,313.20","1,318.03","1,299.55","849.81M","-0.90%"
"15/05/2025","1,313.20","1,309.73","1,316.16","1,301.61","1.05B","0.26%"
"14/05/2025","1,309.73","1,293.43","1,310.57","1,292.34","915.94M","1.26%"
"13/05/2025","1,293.43","1,283.26","1,293.70","1,283.26","883.81M","0.79%"
"12/05/2025","1,283.26","1,267.30","1,283.86","1,267.30","831.86M","1.26%"
"09/05/2025","1,267.30","1,269.80","1,279.61","1,264.87","693.91M","-0.20%"
"08/05/2025","1,269.80","1,250.37","1,271.44","1,250.37","780.07M","1.55%"
"07/05/2025","1,250.37","1,241.95","1,250.79","1,240.20","696.10M","0.68%"
"06/05/2025","1,241.95","1,240.05","1,251.02","1,240.05","723.04M","0.15%"
"05/05/2025","1,240.05","1,226.30","1,241.51","1,226.30","562.29M","1.12%"
"29/04/2025","1,226.30","1,226.80","1,229.10","1,222.30","675.96M","-0.04%"
"28/04/2025","1,226.80","1,234.30","1,234.30","1,222.56","679.79M","-0.20%"
"25/04/2025","1,229.23","1,223.35","1,230.72","1,220.67","863.02M","0.48%"
"24/04/2025","1,223.35","1,214.78","1,224.66","1,210.37","798.64M","1.02%"
"23/04/2025","1,211.00","1,197.13","1,216.28","1,197.13","855.21M","1.16%"
"22/04/2025","1,197.13","1,207.07","1,207.07","1,136.98","1.70B","-0.82%"
"21/04/2025","1,207.07","1,219.12","1,222.77","1,201.63","880.86M","-0.99%"
"18/04/2025","1,219.12","1,228.37","1,234.67","1,219.12","1.07B","0.15%"
"17/04/2025","1,217.25","1,210.30","1,217.25","1,197.50","807.72M","0.57%"
"16/04/2025","1,210.30","1,227.79","1,233.84","1,205.93","818.93M","-1.42%"
"15/04/2025","1,227.79","1,241.44","1,246.21","1,221.75","1.07B","-1.10%"
"14/04/2025","1,241.44","1,235.01","1,242.94","1,226.06","1.04B","1.55%"
"11/04/2025","1,222.46","1,168.34","1,222.46","1,168.34","1.73B","4.63%"
"10/04/2025","1,168.34","1,094.30","1,168.40","1,094.30","369.96M","6.77%"
"09/04/2025","1,094.30","1,132.79","1,141.35","1,073.61","1.60B","-3.40%"
"08/04/2025","1,132.79","1,210.67","1,210.67","1,130.98","1.16B","-6.43%"
"04/04/2025","1,210.67","1,229.84","1,229.84","1,158.17","1.99B","-1.56%"
"03/04/2025","1,229.84","1,272.87","1,277.90","1,229.41","1.76B","-6.68%"
"02/04/2025","1,317.83","1,317.33","1,324.46","1,317.33","849.31M","0.04%"
"01/04/2025","1,317.33","1,313.03","1,317.46","1,308.06","620.03M","0.80%"
"31/03/2025","1,306.86","1,317.46","1,317.46","1,304.10","867.81M","-0.80%"
"28/03/2025","1,317.46","1,324.42","1,325.34","1,315.72","739.65M","-0.48%"
"27/03/2025","1,323.81","1,326.09","1,328.82","1,323.01","672.32M","-0.17%"
"26/03/2025","1,326.09","1,331.92","1,338.55","1,323.69","834.63M","-0.44%"
"25/03/2025","1,331.92","1,330.32","1,337.60","1,329.81","1.02B","0.12%"
"24/03/2025","1,330.32","1,322.90","1,330.32","1,316.73","926.62M","0.64%"
"21/03/2025","1,321.88","1,323.93","1,325.22","1,320.67","805.38M","-0.15%"
"20/03/2025","1,323.93","1,324.63","1,332.41","1,316.11","918.93M","-0.05%"
"19/03/2025","1,324.63","1,330.97","1,330.97","1,320.85","949.33M","-0.48%"
"18/03/2025","1,330.97","1,336.26","1,341.65","1,330.97","903.37M","-0.40%"
"17/03/2025","1,336.26","1,330.62","1,336.26","1,329.05","971.32M","0.76%"
"14/03/2025","1,326.15","1,326.27","1,333.32","1,324.30","1.02B","-0.01%"
"13/03/2025","1,326.27","1,334.41","1,340.91","1,324.87","1.07B","-0.61%"
"12/03/2025","1,334.41","1,332.54","1,342.91","1,331.75","942.05M","0.14%"
"11/03/2025","1,332.54","1,330.28","1,332.54","1,315.92","933.34M","0.17%"
"10/03/2025","1,330.28","1,326.05","1,335.87","1,326.05","1.02B","0.32%"
"07/03/2025","1,326.05","1,318.22","1,327.07","1,318.22","957.52M","0.59%"
"06/03/2025","1,318.22","1,304.71","1,318.22","1,304.71","1.06B","1.04%"
"05/03/2025","1,304.71","1,311.91","1,319.52","1,304.71","979.93M","-0.55%"
"04/03/2025","1,311.91","1,309.37","1,313.21","1,298.28","1.06B","0.19%"
"03/03/2025","1,309.37","1,305.36","1,309.77","1,304.30","976.08M","0.31%"
"28/02/2025","1,305.36","1,307.80","1,308.77","1,300.66","814.81M","-0.19%"
"27/02/2025","1,307.80","1,307.31","1,307.87","1,296.43","892.98M","0.37%"
"26/02/2025","1,302.96","1,303.16","1,306.49","1,301.20","758.27M","-0.02%"
"25/02/2025","1,303.16","1,306.86","1,309.97","1,298.54","885.78M","-0.11%"
"24/02/2025","1,304.56","1,296.75","1,304.56","1,294.69","892.36M","0.60%"
"21/02/2025","1,296.75","1,292.98","1,296.75","1,290.98","740.53M","0.29%"
"20/02/2025","1,292.98","1,288.56","1,295.82","1,288.56","770.75M","0.34%"
"19/02/2025","1,288.56","1,278.14","1,288.56","1,278.14","814.56M","0.82%"
"18/02/2025","1,278.14","1,272.72","1,283.34","1,272.19","706.79M","0.43%"
"17/02/2025","1,272.72","1,276.08","1,278.49","1,272.72","852.79M","-0.26%"
"14/02/2025","1,276.08","1,270.35","1,280.60","1,270.35","650.49M","0.45%"
"13/02/2025","1,270.35","1,266.91","1,270.67","1,263.85","512.02M","0.27%"
"12/02/2025","1,266.91","1,268.45","1,272.86","1,266.59","506.16M","-0.12%"
"11/02/2025","1,268.45","1,263.26","1,268.45","1,263.11","628.72M","0.41%"
"10/02/2025","1,263.26","1,275.20","1,275.20","1,263.26","794.94M","-0.94%"
"07/02/2025","1,275.20","1,271.48","1,279.35","1,269.11","619.05M","0.29%"
"06/02/2025","1,271.48","1,269.61","1,275.47","1,268.28","568.69M","0.15%"
"05/02/2025","1,269.61","1,264.68","1,271.80","1,264.68","587.30M","0.39%"
"04/02/2025","1,264.68","1,256.91","1,264.68","1,255.44","660.34M","0.93%"
"03/02/2025","1,253.03","1,265.05","1,265.05","1,249.78","547.00M","-0.95%"
"24/01/2025","1,265.05","1,259.26","1,265.38","1,258.46","536.20M","0.43%"
"23/01/2025","1,259.63","1,245.59","1,263.59","1,244.77","542.47M","1.38%"
"22/01/2025","1,242.53","1,246.09","1,249.14","1,242.53","508.86M","-0.29%"
"21/01/2025","1,246.09","1,249.55","1,254.17","1,243.08","495.63M","-0.28%"
"20/01/2025","1,249.55","1,249.11","1,253.02","1,247.50","440.95M","0.04%"
"17/01/2025","1,249.11","1,242.36","1,249.11","1,239.63","432.98M","0.54%"
"16/01/2025","1,242.36","1,236.18","1,245.40","1,235.56","499.94M","0.50%"
"15/01/2025","1,236.18","1,229.07","1,237.46","1,229.07","466.70M","0.58%"
"14/01/2025","1,229.07","1,235.65","1,235.65","1,226.70","374.58M","-0.53%"
"13/01/2025","1,235.65","1,230.48","1,235.65","1,220.87","519.70M","0.42%"
"10/01/2025","1,230.48","1,245.77","1,247.80","1,230.48","499.27M","-1.23%"
"09/01/2025","1,245.77","1,251.02","1,253.26","1,242.90","336.33K","-0.42%"
"08/01/2025","1,251.02","1,246.95","1,251.02","1,239.67","445.75K","0.33%"
"07/01/2025","1,246.95","1,249.19","1,254.09","1,243.06","560.06K","0.05%"
"06/01/2025","1,246.35","1,254.59","1,260.37","1,244.87","565.15K","-0.66%"
"03/01/2025","1,254.59","1,268.74","1,269.01","1,254.59","560.47K","-1.19%"
"02/01/2025","1,269.71","1,266.78","1,271.13","1,263.25","428.14K","0.23%"
"31/12/2024","1,266.78","1,272.25","1,272.46","1,266.78","480.54K","-0.41%"
"30/12/2024","1,272.02","1,275.14","1,275.14","1,268.77","527.66K","-0.24%"
"27/12/2024","1,275.14","1,272.87","1,277.89","1,272.23","670.32K","0.18%"
"26/12/2024","1,272.87","1,275.68","1,277.17","1,271.99","595.22K","-0.09%"
"25/12/2024","1,274.04","1,260.81","1,283.09","1,260.81","810.46K","1.09%"
"24/12/2024","1,260.36","1,262.76","1,263.17","1,253.78","643.16K","-0.19%"
"23/12/2024","1,262.76","1,257.50","1,265.20","1,257.50","494.70K","0.42%"
"20/12/2024","1,257.50","1,254.67","1,259.00","1,253.90","568.92K","0.23%"
"19/12/2024","1,254.67","1,256.90","1,259.76","1,249.39","779.41K","-0.89%"
"18/12/2024","1,266.00","1,261.72","1,266.53","1,261.49","531.46K","0.34%"
"17/12/2024","1,261.72","1,263.79","1,265.45","1,260.60","502.25K","-0.16%"
"16/12/2024","1,263.79","1,262.57","1,267.10","1,258.65","538.93K","0.10%"
"13/12/2024","1,262.57","1,267.35","1,267.35","1,260.48","478.79K","-0.38%"
"12/12/2024","1,267.35","1,268.86","1,275.64","1,265.99","554.12K","-0.12%"
"11/12/2024","1,268.86","1,273.23","1,276.67","1,264.15","627.53K","-0.25%"
"10/12/2024","1,272.07","1,273.84","1,277.32","1,270.32","631.45K","-0.14%"
"09/12/2024","1,273.84","1,270.14","1,277.69","1,268.69","761.00K","0.29%"
"06/12/2024","1,270.14","1,270.96","1,276.10","1,268.58","694.79K","0.21%"
"05/12/2024","1,267.53","1,241.81","1,269.18","1,238.49","908.39K","2.19%"
"04/12/2024","1,240.41","1,249.83","1,249.83","1,239.82","575.02K","-0.75%"
"03/12/2024","1,249.83","1,251.21","1,253.83","1,244.91","673.40K","-0.11%"
"02/12/2024","1,251.21","1,250.46","1,258.05","1,247.74","497.42K","0.06%"
"29/11/2024","1,250.46","1,242.51","1,250.92","1,241.00","502.81K","0.67%"
"28/11/2024","1,242.11","1,246.37","1,250.46","1,240.91","477.49K","0.01%"
"27/11/2024","1,241.97","1,242.13","1,245.34","1,239.23","428.81K","-0.01%"
"26/11/2024","1,242.13","1,234.70","1,246.83","1,234.70","575.10K","0.60%"
"25/11/2024","1,234.70","1,228.10","1,236.57","1,228.10","497.81K","0.54%"
"22/11/2024","1,228.10","1,228.33","1,233.42","1,226.33","534.44K","-0.02%"
"21/11/2024","1,228.33","1,216.54","1,228.55","1,214.06","482.15K","0.97%"
"20/11/2024","1,216.54","1,205.15","1,222.73","1,197.99","767.53K","0.95%"
"19/11/2024","1,205.15","1,217.12","1,221.40","1,205.15","511.89K","-0.98%"
"18/11/2024","1,217.12","1,218.57","1,225.38","1,204.60","646.15K","-0.12%"
"15/11/2024","1,218.57","1,229.36","1,229.59","1,217.03","750.57K","-1.08%"
"14/11/2024","1,231.89","1,246.04","1,247.07","1,231.69","692.59K","-1.14%"
"13/11/2024","1,246.04","1,244.82","1,247.04","1,234.62","660.55K","0.10%"
"12/11/2024","1,244.82","1,250.32","1,257.02","1,242.91","600.65K","-0.44%"
"11/11/2024","1,250.32","1,253.81","1,253.87","1,241.29","796.48K","-0.18%"
"08/11/2024","1,252.56","1,259.75","1,264.09","1,250.77","555.50K","-0.57%"
"07/11/2024","1,259.75","1,261.28","1,267.09","1,259.75","499.26K","-0.12%"
"06/11/2024","1,261.28","1,251.22","1,262.44","1,250.57","566.91K","1.25%"
"05/11/2024","1,245.76","1,244.71","1,248.97","1,243.55","416.47K","0.08%"
"04/11/2024","1,244.71","1,254.89","1,256.96","1,242.36","709.67K","-0.81%"
"01/11/2024","1,254.89","1,264.48","1,264.67","1,254.33","580.51K","-0.76%"
"31/10/2024","1,264.48","1,258.63","1,267.88","1,255.55","614.27K","0.46%"
"30/10/2024","1,258.63","1,261.78","1,264.84","1,255.07","536.85K","-0.25%"
"29/10/2024","1,261.78","1,258.03","1,262.38","1,257.43","875.05K","0.56%"
"28/10/2024","1,254.77","1,252.72","1,255.18","1,250.94","482.69K","0.16%"
"25/10/2024","1,252.72","1,257.41","1,261.72","1,251.75","569.10K","-0.37%"
"24/10/2024","1,257.41","1,271.17","1,274.11","1,257.41","673.14K","-1.06%"
"23/10/2024","1,270.90","1,270.58","1,273.21","1,263.26","589.86K","0.08%"
"22/10/2024","1,269.89","1,280.21","1,280.21","1,265.44","793.92K","-0.77%"
"21/10/2024","1,279.77","1,284.17","1,287.71","1,279.77","622.81K","-0.44%"
"18/10/2024","1,285.46","1,291.16","1,294.10","1,285.46","689.07K","-0.08%"
"17/10/2024","1,286.52","1,279.48","1,286.52","1,271.82","685.24K","0.55%"
"16/10/2024","1,279.48","1,279.86","1,283.33","1,276.40","536.68K","-0.12%"
"15/10/2024","1,281.08","1,287.81","1,294.05","1,279.81","712.09K","-0.41%"
"14/10/2024","1,286.34","1,288.39","1,297.67","1,286.13","795.71K","-0.16%"
"11/10/2024","1,288.39","1,286.36","1,289.37","1,283.56","531.74K","0.16%"
"10/10/2024","1,286.36","1,281.85","1,294.33","1,281.85","720.09K","0.35%"
"09/10/2024","1,281.85","1,273.96","1,283.01","1,273.04","676.89K","0.78%"
"08/10/2024","1,271.98","1,269.93","1,275.82","1,266.94","678.71K","0.16%"
"07/10/2024","1,269.93","1,270.60","1,278.61","1,264.65","542.59K","-0.05%"
"04/10/2024","1,270.60","1,278.90","1,279.33","1,270.60","610.07K","-0.59%"
"03/10/2024","1,278.10","1,287.84","1,299.36","1,276.51","1.04M","-0.76%"
"02/10/2024","1,287.84","1,292.20","1,293.69","1,285.14","771.12K","-0.34%"
"01/10/2024","1,292.20","1,287.94","1,302.22","1,287.94","982.29K","0.33%"
"30/09/2024","1,287.94","1,290.92","1,292.03","1,283.92","748.40K","-0.23%"
"27/09/2024","1,290.92","1,295.03","1,300.31","1,287.21","950.80K","-0.04%"
"26/09/2024","1,291.49","1,290.03","1,298.71","1,289.15","956.80K","0.31%"
"25/09/2024","1,287.48","1,276.99","1,288.44","1,276.99","992.83K","0.82%"
"24/09/2024","1,276.99","1,268.48","1,276.99","1,266.68","817.54K","0.67%"
"23/09/2024","1,268.48","1,275.15","1,276.99","1,267.87","564.22K","-0.28%"
"20/09/2024","1,272.04","1,271.27","1,283.30","1,271.27","898.26K","0.06%"
"19/09/2024","1,271.27","1,264.90","1,271.27","1,264.82","607.58K","0.50%"
"18/09/2024","1,264.90","1,258.95","1,271.77","1,257.93","799.78K","0.47%"
"17/09/2024","1,258.95","1,239.26","1,258.95","1,238.69","632.20K","1.59%"
"16/09/2024","1,239.26","1,251.71","1,255.42","1,239.26","608.01K","-0.99%"
"13/09/2024","1,251.71","1,256.35","1,256.35","1,248.78","482.06K","-0.37%"
"12/09/2024","1,256.35","1,253.27","1,260.93","1,253.27","433.68K","0.25%"
"11/09/2024","1,253.27","1,255.23","1,256.86","1,244.79","583.75K","-0.16%"
"10/09/2024","1,255.23","1,267.73","1,271.83","1,252.22","690.10K","-0.99%"
"09/09/2024","1,267.73","1,273.96","1,273.96","1,262.97","497.55K","-0.49%"
"06/09/2024","1,273.96","1,268.21","1,274.44","1,262.94","637.09K","0.45%"
"05/09/2024","1,268.21","1,275.80","1,282.21","1,266.05","665.63K","-0.59%"
"04/09/2024","1,275.80","1,283.87","1,283.87","1,268.43","648.41K","-0.63%"
"30/08/2024","1,283.87","1,281.47","1,286.84","1,281.47","571.60K","0.19%"
"29/08/2024","1,281.47","1,281.44","1,288.20","1,280.24","634.09K","0.00%"
"28/08/2024","1,281.44","1,280.56","1,285.72","1,276.90","717.62K","0.07%"
"27/08/2024","1,280.56","1,280.02","1,282.92","1,274.70","660.80K","0.04%"
"26/08/2024","1,280.02","1,285.32","1,290.45","1,278.72","775.47K","-0.41%"
"23/08/2024","1,285.32","1,282.78","1,287.43","1,276.43","724.87K","0.20%"
"22/08/2024","1,282.78","1,284.05","1,288.42","1,280.42","687.37K","-0.10%"
"21/08/2024","1,284.05","1,272.55","1,284.05","1,268.91","836.42K","0.90%"
"20/08/2024","1,272.55","1,261.62","1,275.95","1,261.62","810.16K","0.87%"
"19/08/2024","1,261.62","1,252.23","1,263.84","1,252.23","698.63K","0.75%"
"16/08/2024","1,252.23","1,223.56","1,253.24","1,223.56","965.06K","2.34%"
"15/08/2024","1,223.56","1,230.36","1,231.69","1,222.28","497.06K","-0.55%"
"14/08/2024","1,230.36","1,230.42","1,236.51","1,228.93","507.18K","0.00%"
"13/08/2024","1,230.42","1,229.81","1,231.55","1,223.01","539.12K","0.01%"
"12/08/2024","1,230.28","1,223.64","1,231.46","1,221.16","551.15K","0.54%"
"09/08/2024","1,223.64","1,208.32","1,225.02","1,208.32","586.76K","1.27%"
"08/08/2024","1,208.32","1,215.88","1,219.97","1,202.58","758.83K","-0.62%"
"07/08/2024","1,215.88","1,210.28","1,217.79","1,205.11","623.85K","0.46%"
"06/08/2024","1,210.28","1,188.07","1,213.35","1,186.74","688.84K","1.87%"
"05/08/2024","1,188.07","1,236.60","1,236.60","1,184.53","1.04M","-3.92%"
"02/08/2024","1,236.60","1,226.96","1,236.60","1,209.77","696.66K","0.79%"
"01/08/2024","1,226.96","1,251.51","1,257.85","1,222.51","897.26K","-1.96%"
"31/07/2024","1,251.51","1,245.06","1,255.77","1,245.06","748.85K","0.52%"
"30/07/2024","1,245.06","1,246.60","1,248.73","1,236.97","653.07K","-0.12%"
"29/07/2024","1,246.60","1,242.11","1,249.68","1,242.11","496.87K","0.36%"
"26/07/2024","1,242.11","1,233.19","1,242.11","1,233.19","458.79K","0.72%"
"25/07/2024","1,233.19","1,238.47","1,238.47","1,226.20","484.41K","-0.43%"
"24/07/2024","1,238.47","1,231.81","1,242.40","1,218.65","740.26K","0.54%"
"23/07/2024","1,231.81","1,254.64","1,258.74","1,231.81","728.38K","-1.82%"
"22/07/2024","1,254.64","1,264.78","1,267.43","1,245.02","923.63K","-0.80%"
"19/07/2024","1,264.78","1,274.44","1,279.94","1,260.68","791.80K","-0.76%"
"18/07/2024","1,274.44","1,268.66","1,274.67","1,256.21","739.04K","0.46%"
"17/07/2024","1,268.66","1,281.18","1,290.76","1,256.42","1.23M","-0.98%"
"16/07/2024","1,281.18","1,279.82","1,291.47","1,279.37","684.26K","0.11%"
"15/07/2024","1,279.82","1,280.75","1,286.37","1,276.27","573.51K","-0.07%"
"12/07/2024","1,280.75","1,283.80","1,288.67","1,277.16","606.31K","-0.24%"
"11/07/2024","1,283.80","1,285.94","1,293.32","1,283.80","697.23K","-0.17%"
"10/07/2024","1,285.94","1,293.71","1,297.96","1,285.94","751.00K","-0.60%"
"09/07/2024","1,293.71","1,283.56","1,294.15","1,283.56","821.81K","0.79%"
"08/07/2024","1,283.56","1,283.04","1,287.14","1,277.68","766.90K","0.04%"
"05/07/2024","1,283.04","1,279.89","1,284.98","1,276.93","616.50K","0.25%"
"04/07/2024","1,279.89","1,276.85","1,283.13","1,274.58","523.46K","0.24%"
"03/07/2024","1,276.85","1,269.79","1,278.14","1,268.23","589.51K","0.56%"
"02/07/2024","1,269.79","1,254.56","1,270.47","1,254.56","528.47K","1.21%"
"01/07/2024","1,254.56","1,245.32","1,254.56","1,240.07","487.19K","0.74%"
"28/06/2024","1,245.32","1,259.09","1,262.61","1,240.15","840.43K","-1.09%"
"27/06/2024","1,259.09","1,261.24","1,262.49","1,255.12","596.99K","-0.17%"
"26/06/2024","1,261.24","1,256.56","1,262.67","1,247.55","878.37K","0.37%"
"25/06/2024","1,256.56","1,254.12","1,260.07","1,250.25","835.30K","0.19%"
"24/06/2024","1,254.12","1,282.02","1,284.84","1,252.66","1.25M","-2.18%"
"21/06/2024","1,282.02","1,282.30","1,288.06","1,279.44","834.75K","-0.02%"
"20/06/2024","1,282.30","1,279.79","1,286.54","1,273.54","932.55K","0.20%"
"19/06/2024","1,279.79","1,279.50","1,284.14","1,270.66","1.00M","0.02%"
"18/06/2024","1,279.50","1,274.77","1,286.52","1,274.77","805.29K","0.37%"
"17/06/2024","1,274.77","1,279.91","1,283.10","1,272.54","900.56K","-0.40%"
"14/06/2024","1,279.91","1,301.51","1,305.02","1,279.91","1.11M","-1.66%"
"13/06/2024","1,301.51","1,305.69","1,306.01","1,297.60","891.33K","0.10%"
"12/06/2024","1,300.19","1,284.41","1,301.35","1,281.71","895.26K","1.23%"
"11/06/2024","1,284.41","1,290.67","1,296.41","1,279.47","993.34K","-0.49%"
"10/06/2024","1,290.67","1,287.58","1,297.39","1,287.44","858.65K","0.24%"
"07/06/2024","1,287.58","1,283.56","1,293.03","1,283.13","698.28K","0.31%"
"06/06/2024","1,283.56","1,288.79","1,292.02","1,278.40","893.07K","-0.06%"
"05/06/2024","1,284.35","1,283.52","1,293.93","1,283.52","925.06K","0.06%"
"04/06/2024","1,283.52","1,280.00","1,289.31","1,280.00","935.85K","0.28%"
"03/06/2024","1,280.00","1,261.72","1,284.48","1,261.72","1.05M","1.45%"
"31/05/2024","1,261.72","1,266.32","1,271.07","1,261.43","771.15K","-0.36%"
"30/05/2024","1,266.32","1,272.64","1,272.64","1,251.80","1.05M","-0.50%"
"29/05/2024","1,272.64","1,281.73","1,285.63","1,271.60","1.07M","-0.71%"
"28/05/2024","1,281.73","1,267.68","1,281.73","1,267.68","868.58K","1.11%"
"27/05/2024","1,267.68","1,263.46","1,267.68","1,257.27","726.70K","0.46%"
"24/05/2024","1,261.93","1,281.03","1,285.07","1,250.28","1.37M","-1.49%"
"23/05/2024","1,281.03","1,266.91","1,281.03","1,262.29","968.13K","1.11%"
"22/05/2024","1,266.91","1,277.14","1,283.06","1,263.87","1.14M","-0.80%"
"21/05/2024","1,277.14","1,277.58","1,281.29","1,267.29","972.16K","-0.03%"
"20/05/2024","1,277.58","1,273.11","1,285.19","1,273.11","1.16M","0.35%"
"17/05/2024","1,273.11","1,268.78","1,274.27","1,266.32","937.04K","0.34%"
"16/05/2024","1,268.78","1,254.39","1,271.66","1,254.39","885.06K","1.15%"
"15/05/2024","1,254.39","1,243.28","1,257.92","1,243.28","880.17K","0.89%"
"14/05/2024","1,243.28","1,240.18","1,252.52","1,240.18","640.49K","0.25%"
"13/05/2024","1,240.18","1,244.70","1,249.20","1,233.56","741.58K","-0.36%"
"10/05/2024","1,244.70","1,248.64","1,252.50","1,237.46","669.11K","-0.32%"
"09/05/2024","1,248.64","1,250.46","1,256.80","1,243.29","771.55K","-0.15%"
